Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
age,qx,lx,dx,Lx,Tx,ex
0-1,0.010938,"100,000","1,094","99,035","7,530,501",75.3
1-2,0.000601,"98,906",59,"98,876","7,431,466",75.1
2-3,0.000430,"98,847",42,"98,825","7,332,590",74.2
3-4,0.000330,"98,804",33,"98,788","7,233,764",73.2
4-5,0.000263,"98,772",26,"98,759","7,134,976",72.2
5-6,0.000226,"98,746",22,"98,734","7,036,218",71.3
6-7,0.000191,"98,723",19,"98,714","6,937,483",70.3
7-8,0.000165,"98,704",16,"98,696","6,838,769",69.3
8-9,0.000145,"98,688",14,"98,681","6,740,073",68.3
9-10,0.000133,"98,674",13,"98,667","6,641,392",67.3
10-11,0.000132,"98,661",13,"98,654","6,542,725",66.3
11-12,0.000148,"98,648",15,"98,640","6,444,071",65.3
12-13,0.000187,"98,633",18,"98,624","6,345,430",64.3
13-14,0.000254,"98,615",25,"98,602","6,246,806",63.3
14-15,0.000343,"98,590",34,"98,573","6,148,204",62.4
15-16,0.000436,"98,556",43,"98,534","6,049,632",61.4
16-17,0.000533,"98,513",53,"98,487","5,951,097",60.4
17-18,0.000650,"98,460",64,"98,428","5,852,611",59.4
18-19,0.000785,"98,396",77,"98,358","5,754,182",58.5
19-20,0.000921,"98,319",91,"98,274","5,655,825",57.5
20-21,0.001057,"98,228",104,"98,177","5,557,551",56.6
21-22,0.001175,"98,125",115,"98,067","5,459,374",55.6
22-23,0.001259,"98,009",123,"97,948","5,361,307",54.7
23-24,0.001306,"97,886",128,"97,822","5,263,360",53.8
24-25,0.001328,"97,758",130,"97,693","5,165,538",52.8
25-26,0.001343,"97,628",131,"97,563","5,067,845",51.9
26-27,0.001367,"97,497",133,"97,431","4,970,282",51.0
27-28,0.001399,"97,364",136,"97,296","4,872,851",50.0
28-29,0.001446,"97,228",141,"97,157","4,775,556",49.1
