Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
age,qx,lx,dx,Lx,Tx,ex
0-1,0.004848,"100,000",485,"99,572","8,182,860",81.8
1-2,0.000283,"99,515",28,"99,501","8,083,287",81.2
2-3,0.000209,"99,487",21,"99,477","7,983,786",80.2
3-4,0.000158,"99,466",16,"99,458","7,884,310",79.3
4-5,0.000108,"99,451",11,"99,445","7,784,851",78.3
5-6,0.000107,"99,440",11,"99,435","7,685,406",77.3
6-7,0.000093,"99,429",9,"99,425","7,585,971",76.3
7-8,0.000084,"99,420",8,"99,416","7,486,547",75.3
8-9,0.000077,"99,412",8,"99,408","7,387,131",74.3
9-10,0.000074,"99,404",7,"99,400","7,287,723",73.3
10-11,0.000075,"99,397",7,"99,393","7,188,323",72.3
11-12,0.000085,"99,389",8,"99,385","7,088,930",71.3
12-13,0.000109,"99,381",11,"99,375","6,989,545",70.3
13-14,0.000148,"99,370",15,"99,363","6,890,170",69.3
14-15,0.000201,"99,355",20,"99,345","6,790,807",68.3
15-16,0.000260,"99,335",26,"99,322","6,691,462",67.4
16-17,0.000324,"99,309",32,"99,293","6,592,140",66.4
17-18,0.000393,"99,277",39,"99,258","6,492,846",65.4
18-19,0.000466,"99,238",46,"99,215","6,393,589",64.4
19-20,0.000540,"99,192",54,"99,165","6,294,374",63.5
20-21,0.000617,"99,138",61,"99,108","6,195,208",62.5
21-22,0.000692,"99,077",69,"99,043","6,096,100",61.5
22-23,0.000756,"99,009",75,"98,971","5,997,057",60.6
23-24,0.000802,"98,934",79,"98,894","5,898,086",59.6
24-25,0.000835,"98,855",82,"98,813","5,799,192",58.7
25-26,0.000863,"98,772",85,"98,729","5,700,379",57.7
26-27,0.000891,"98,687",88,"98,643","5,601,649",56.8
27-28,0.000911,"98,599",90,"98,554","5,503,006",55.8
28-29,0.000926,"98,509",91,"98,463","5,404,453",54.9
29-30,0.000936,"98,418",92,"98,372","5,305,989",53.9
30-31,0.000943,"98,326",93,"98,279","5,207,617",53.0
31-32,0.000952,"98,233",94,"98,186","5,109,338",52.0
32-33,0.000974,"98,139",96,"98,092","5,011,152",51.1
33-34,0.001011,"98,044",99,"97,994","4,913,060",50.1
34-35,0.001061,"97,945",104,"97,893","4,815,066",49.2
35-36,0.001119,"97,841",109,"97,786","4,717,174",48.2
36-37,0.001176,"97,731",115,"97,674","4,619,388",47.3
37-38,0.001226,"97,616",120,"97,557","4,521,714",46.3
38-39,0.001265,"97,497",123,"97,435","4,424,157",45.4
39-40,0.001302,"97,373",127,"97,310","4,326,722",44.4
40-41,0.001341,"97,247",130,"97,181","4,229,412",43.5
41-42,0.001396,"97,116",136,"97,048","4,132,231",42.5
42-43,0.001474,"96,981",143,"96,909","4,035,182",41.6
43-44,0.001582,"96,838",153,"96,761","3,938,273",40.7
44-45,0.001717,"96,685",166,"96,601","3,841,512",39.7
45-46,0.001867,"96,518",180,"96,428","3,744,911",38.8
46-47,0.002029,"96,338",195,"96,240","3,648,482",37.9
47-48,0.002211,"96,143",213,"96,036","3,552,242",36.9
